"","x_1","x","branches","address","id","lat","long"
"1",21,22,"NATIONAL HOSPITAL, ABUJA","Plot 132, Central Business District FCT. Abuja",6220,NA,NA
"2",22,23,"NNPC TOWERS","NNPC Towers Abuja",1925,NA,NA
"3",23,24,"OWENA HOUSE, ABUJA","POWA PLAZA",663,5.5683601,5.7440028
"4",24,25,"Prestige Abuja Bank","2 Usuma Street, off Gana Street Maiitama Abuja",5063,NA,NA
"5",25,26,"SILVERBIRD","SILVERBIRD GALLERIA CBD,ABUJA",3402,NA,NA
"6",26,27,"TRANSCORP HILTON","TRANSCORP HILTON HOTEL. NO. 1 AGUIYI IRONSI STREET,MAITAMA",7255,NA,NA
"7",27,28,"WAEC","WAEC BUILDING 10 ZAMBEZI CRESCENT MAITAMA",7635,NA,NA
"8",28,29,"WUSE 2","Plot 52, Ademola Adetokunbo Crescent, Wuse 2, Abuja",9553,NA,NA
"9",29,30,"WUSE 4","2097 Herbert Macaulay Wy Wuse4",2524,NA,NA
"10",30,31,"ABA FACTORY ROAD","5, Factory Road, Aba. Abia State",1965,NA,NA
"11",31,32,"ABA -OKIGWE RD","9 Okigwe Road Aba",8191,5.1191768,7.3555887
"12",32,33,"ABA OWERRI RD","146/148 Aba-Owerri Road, Aba, Abia State",3573,5.1158645,7.3723508
"13",33,34,"Aba P/h Road","10, Port Harcourt Road, Aba. Abia State",4275,5.0987624,7.3589012
"14",34,35,"ABA ROAD UMUAHIA","68 Aba Road Umuahia",8392,5.5260395,7.4932407
"15",35,36,"BENDE","Bende-Umuahia Road, Bende. Abia State",4831,NA,NA
"16",36,37,"EZIUKWU B/O","3A CEMETERY ROAD, EZIUKWU MARKET, ABA, ABIA STATE",3287,NA,NA
"17",37,38,"FACTORY RD, ABA-ABA1","1A, FACTORY ROAD, ABA",9010,NA,NA
"18",38,39,"FAULKS ROAD, ABA","21, Faulks Road. Aba, Abia State",9251,NA,NA
"19",39,40,"UMUAHIA","1 FACTORY ROAD / AKANU IBIAM ROAD UMUAHIA, ABIA STATE",4578,NA,NA
"20",40,41,"AHMADU BELLO WAY","56, Ahmadu Bello Way",8497,6.4430451,3.400077
"21",41,42,"GALADIMA AMINU2 B/O","36, GALADIMA AMINU WAY, JIMETA, YOLA",8747,NA,NA
"22",42,43,"GLADIMA AMINU1 B/O","42, GLADIMA AMINU WAY, JIMETA, YOLA",578,NA,NA
"23",43,44,"AKA RD","7-13, Aka Road, PMB 1202, Uyo, Akwa Ibom State.",4821,NA,NA
"24",44,45,"EBUKHU","Ebukhu, MBO L.G.A. Oron. Akwa-Ibom State.",6647,NA,NA
"25",45,46,"EKET","12B, Grace Bill Rd, PMB 1163. Eket. Akwa Ibom State.",6336,NA,NA
"26",46,47,"IKOT ABASI","Ibekwe Road, PMB. 1053, Ikot Abasi. LGA. Akwa Ibom State",867,NA,NA
"27",47,48,"IKOT EKPENE","Esuene Drive, Ikot-Ekpene",5794,NA,NA
"28",48,49,"NWANNIBA RD, Uyo 3","34, Nwaniba Road, Uyo. Akwa Ibom State",804,5.0279114,7.9427619
"29",49,50,"UBA PLC ABAK ROAD,UYO","PLOT 15 BLK 1,ABAK ROAD ,UYO",6225,NA,NA
"30",50,51,"UDO UDOMA AVENUE","Udo Udoma Avenue, Uyo",5302,5.002115,7.9334207
